Expressiveness,Clarity,pitch_variability,pitch_change_rate
4,5,105.5574782,5.748390959
3,3.5,48.4068156,4.651858747
4.5,4.5,96.43092188,7.237683703
4.5,5,65.51605989,5.812136244
4,4,184.7841171,8.014449301
2.5,1.5,51.04319043,3.826175353
5,5,84.48955666,6.628561906
3,4.5,75.73427036,5.998421107
5,4,70.28959724,4.616643252
3,4,173.3773428,6.97559033
3,3.5,69.49859174,3.684863344
3,3,113.2037554,6.10676663
4,4,71.45726095,5.676888087
4,4.5,83.00923609,6.833003462
3,4.5,80.29674307,8.584497931
3,4.5,50.87986808,6.764554043
4,4,84.08760525,6.247179098
4.5,5,81.02799609,7.513698408
3.5,4,63.22656972,4.320030791
4.5,5,96.50536258,7.472456453
4,4,176.5229246,7.550359814
4,4,93.23191899,6.229828748
2.5,3.5,67.63778027,5.684996019
4,4.5,81.34492879,9.227332661
5,5,94.49412415,6.216733763
5,4,116.4432689,6.818749049
5,5,129.8709129,10.16719523
5,5,112.1436846,9.750226815
4,4,100.3324923,6.409223841
3,2.5,80.37192,5.972673968
3.5,4,56.05104534,4.713659111
4,5,72.88257263,5.778665002
4.5,4.5,75.34694352,6.031822817
3,2.5,46.69391143,5.428381468
3.5,4.5,68.59964133,6.993738931
4,5,107.8312388,6.089439869
5,4.5,148.7763256,8.993280262
5,5,113.765688,8.668965179
3,4,132.9785906,10.24279785
4,5,74.60600599,6.306721834
4,5,142.9443896,9.197400444
5,4.5,116.666849,10.34024166
3.5,4.5,59.43460133,5.935387995
4,4,76.27519535,5.45108159
3,4,56.14740852,5.170218827
3.5,4,121.5878117,6.578528741
4,4.5,43.31610481,4.731264431
4.5,4.5,77.62892027,7.158648038
5,5,90.45285166,7.263983773
4,4.5,133.54957,7.884919501
4,4.5,80.6429693,6.733591927
4,3,54.64715394,4.299174581
3.5,2.5,77.50882129,7.669340807
4,5,74.80821585,6.570614481
3,4,95.1024261,8.16575909
1.5,2.5,61.43882152,5.386994433
4.5,5,103.6231483,7.273769901
4,3.5,98.91624314,7.325158936
4.5,4.5,100.3502464,7.911771973
3.5,4,66.58736684,5.433405216
5,5,83.79331336,5.494808323
3.5,5,79.13896676,6.917801098
2.5,3.5,54.0717981,5.162087881
5,4,91.55371287,5.478901803
3,3,90.86408211,5.428659451
5,4.5,77.40704525,7.663350353
3.5,5,102.014356,9.112160356
4,4.5,75.42419882,6.832212523
3,3.5,69.17335619,6.457442561
5,5,104.4269668,8.456889685
3,3,81.31427876,5.793495385
3.5,4.5,72.24542093,5.782334195
3,5,127.3392516,9.333041758
3,3.5,51.68956604,5.979195325
3.5,3.5,119.5775966,7.057505129
4.5,4.5,73.73427138,8.794527519
4.5,4.5,96.50605522,7.295615206
4.5,5,59.29865644,6.240586005
4,5,72.60000178,5.532951566
2,3,69.35491161,6.141760655
